Region,model,n_cntrs,n_CEicer,n_CEenb,p_CEenb,p_CEicer,icer
Global,"PostTB(N),TBM(N)",110,70,70,63.6,63.6,449(IQR:122.8 to 2536.3)
Global,"PostTB(N),TBM(Y)",110,71,71,64.5,64.5,392.5(IQR:114.3 to 2210.7)
Global,"PostTB(Y),TBM(N)",110,75,75,68.2,68.2,292(IQR:86.7 to 1594.1)
Global,"PostTB(Y),TBM(Y)",110,76,75,68.2,69.1,276.3(IQR:83.5 to 1514.4)
AFR,"PostTB(N),TBM(N)",42,29,29,69,69,180(IQR:106 to 452.2)
AFR,"PostTB(N),TBM(Y)",42,30,30,71.4,71.4,163.5(IQR:99.5 to 413.3)
AFR,"PostTB(Y),TBM(N)",42,31,31,73.8,73.8,132(IQR:79.3 to 333.5)
AFR,"PostTB(Y),TBM(Y)",42,31,31,73.8,73.8,125.6(IQR:74.8 to 319.6)
AMR,"PostTB(N),TBM(N)",19,11,11,57.9,57.9,1857.5(IQR:649.7 to 10762.1)
AMR,"PostTB(N),TBM(Y)",19,11,11,57.9,57.9,1705.7(IQR:607.1 to 9296.1)
AMR,"PostTB(Y),TBM(N)",19,11,11,57.9,57.9,1281.3(IQR:505.1 to 5765.8)
AMR,"PostTB(Y),TBM(Y)",19,12,11,57.9,63.2,1211.7(IQR:482.7 to 5370.4)
EMR,"PostTB(N),TBM(N)",12,3,3,25,25,1838.9(IQR:144.3 to 8321.3)
EMR,"PostTB(N),TBM(Y)",12,3,3,25,25,1685.6(IQR:135.7 to 7345.6)
EMR,"PostTB(Y),TBM(N)",12,5,5,41.7,41.7,1215.1(IQR:103 to 4977.2)
EMR,"PostTB(Y),TBM(Y)",12,5,5,41.7,41.7,1138.8(IQR:99.1 to 4649.9)
EUR,"PostTB(N),TBM(N)",16,10,10,62.5,62.5,1905.4(IQR:950.8 to 4206.7)
EUR,"PostTB(N),TBM(Y)",16,10,10,62.5,62.5,1699(IQR:883 to 3743.8)
EUR,"PostTB(Y),TBM(N)",16,11,11,68.8,68.8,1287.6(IQR:764.5 to 2627.7)
EUR,"PostTB(Y),TBM(Y)",16,11,11,68.8,68.8,1208.9(IQR:726.4 to 2445.9)
SEA,"PostTB(N),TBM(N)",9,8,8,88.9,88.9,116.6(IQR:60.2 to 266)
SEA,"PostTB(N),TBM(Y)",9,8,8,88.9,88.9,108(IQR:56.3 to 246.4)
SEA,"PostTB(Y),TBM(N)",9,8,8,88.9,88.9,95.7(IQR:47.4 to 219.1)
SEA,"PostTB(Y),TBM(Y)",9,8,8,88.9,88.9,90.1(IQR:45.3 to 207.5)
WPR,"PostTB(N),TBM(N)",12,9,9,75,75,136.9(IQR:45.4 to 1630.4)
WPR,"PostTB(N),TBM(Y)",12,9,9,75,75,127.6(IQR:41.3 to 1496.5)
WPR,"PostTB(Y),TBM(N)",12,9,9,75,75,114(IQR:31.7 to 1049.3)
WPR,"PostTB(Y),TBM(Y)",12,9,9,75,75,108.5(IQR:29.8 to 989.8)
